run_id	model_slug	model_name	hidden_dim	k	learning_rate	batch_size	num_train_epochs	resample_times	seed	output_dir
qwen3_8b_topk_h512_k16_lr5e4	qwen3_8b	Qwen/Qwen3-8B	512	16	0.0005	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/qwen3_8b/h512_k16_lr5e4
qwen3_8b_topk_h512_k32_lr5e4	qwen3_8b	Qwen/Qwen3-8B	512	32	0.0005	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/qwen3_8b/h512_k32_lr5e4
qwen3_8b_topk_h1024_k16_lr5e4	qwen3_8b	Qwen/Qwen3-8B	1024	16	0.0005	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/qwen3_8b/h1024_k16_lr5e4
qwen3_8b_topk_h1024_k32_lr5e4	qwen3_8b	Qwen/Qwen3-8B	1024	32	0.0005	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/qwen3_8b/h1024_k32_lr5e4
qwen3_8b_topk_h1024_k16_lr1e3	qwen3_8b	Qwen/Qwen3-8B	1024	16	0.001	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/qwen3_8b/h1024_k16_lr1e3
qwen3_8b_topk_h1024_k32_lr1e3	qwen3_8b	Qwen/Qwen3-8B	1024	32	0.001	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/qwen3_8b/h1024_k32_lr1e3
olmo_13b_topk_h512_k16_lr5e4	olmo_13b	allenai/OLMo-2-1124-13B	512	16	0.0005	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/olmo_13b/h512_k16_lr5e4
olmo_13b_topk_h512_k32_lr5e4	olmo_13b	allenai/OLMo-2-1124-13B	512	32	0.0005	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/olmo_13b/h512_k32_lr5e4
olmo_13b_topk_h1024_k16_lr5e4	olmo_13b	allenai/OLMo-2-1124-13B	1024	16	0.0005	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/olmo_13b/h1024_k16_lr5e4
olmo_13b_topk_h1024_k32_lr5e4	olmo_13b	allenai/OLMo-2-1124-13B	1024	32	0.0005	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/olmo_13b/h1024_k32_lr5e4
olmo_13b_topk_h1024_k16_lr1e3	olmo_13b	allenai/OLMo-2-1124-13B	1024	16	0.001	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/olmo_13b/h1024_k16_lr1e3
olmo_13b_topk_h1024_k32_lr1e3	olmo_13b	allenai/OLMo-2-1124-13B	1024	32	0.001	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/olmo_13b/h1024_k32_lr1e3
gpt_oss_20b_topk_h512_k16_lr5e4	gpt_oss_20b	openai/gpt-oss-20b	512	16	0.0005	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/gpt_oss_20b/h512_k16_lr5e4
gpt_oss_20b_topk_h512_k32_lr5e4	gpt_oss_20b	openai/gpt-oss-20b	512	32	0.0005	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/gpt_oss_20b/h512_k32_lr5e4
gpt_oss_20b_topk_h1024_k16_lr5e4	gpt_oss_20b	openai/gpt-oss-20b	1024	16	0.0005	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/gpt_oss_20b/h1024_k16_lr5e4
gpt_oss_20b_topk_h1024_k32_lr5e4	gpt_oss_20b	openai/gpt-oss-20b	1024	32	0.0005	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/gpt_oss_20b/h1024_k32_lr5e4
gpt_oss_20b_topk_h1024_k16_lr1e3	gpt_oss_20b	openai/gpt-oss-20b	1024	16	0.001	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/gpt_oss_20b/h1024_k16_lr1e3
gpt_oss_20b_topk_h1024_k32_lr1e3	gpt_oss_20b	openai/gpt-oss-20b	1024	32	0.001	256	200	5	42	experiments/llm_sentences_last_layer/checkpoints/sae_baselines/topk_tuning/gpt_oss_20b/h1024_k32_lr1e3
